"HolderAddress","Balance","PendingBalanceUpdate"
"0x685ea2a54e2485d5926fd77e3f77544d3af00b98","15,028.161067896800525673","No"
"0xe802fc7996469864069c93d2c2ed69143dc8b7f0","14,722.163910591703229261","No"
"0x624f9c03a1c8f5da87479006b63390243d08a7fe","14,625.086468043350297965","No"
"0x62ec120c187204892fe346419eb2f0c0d9cce45a","13,369.267185172423203442","No"
"0x79280791964dfea39238668c59bd65eb37eff499","12,583.282662418043051954","No"
"0x95afe1fe6e348b91ce2b226c1d4d27c3e8f99b56","12,260.375123986633816978","No"
"0xb86af28448a21a738bb0a230ef808b9ea940dcf1","12,195.20358152748153338","No"
"0x49a45519f513d620fef6490240861b467594f3be","11,807.719643967077647612","No"
"0xbf5112c4fef1531235eec80189a5abb1a1735a4a","11,708.304967290334599123","No"
"0x735de94d0b805a41e81a58092852516559ac9069","11,070.081110606062734485","No"
"0x01a2aa96eff663f80e495088572d342b756a3e85","11,008.505932151153474567","No"
"0xce0f6c0908b16a12115b75e7916d6ca7a752053c","10,416.235304572323583081","No"
"0x23821ad94a4bed4f50793b055706ce9ec32692f9","10,117.04772688763839562","No"
"0x71fceffb5d3c50478a8409da590dc9592abc4faa","10,100.306106696664312738","No"
"0xd2e0b028489e24ed832f8f7d95353565d1efbde8","9,740.987737383643521206","No"
"0xfd633bf3d2b141855b4dfb396a3703540cf3346d","9,500.928824985014619507","No"
"0x71871b66323fb21eb3b2566ed26a7415092fe1a5","9,445.621308977047531077","No"
"0xe62b2d9a8c7d71d1c5f261c9149b1a20ec08ef17","9,314.951397214287704213","No"
"0xd6b4e8a3c398ac263e237401607df7dae707d057","9,277.108232036202658628","No"
"0xc8c2c9832960c8bb86ff750758bef36c96383b2b","9,236.478776633244170254","No"
"0x89b5d6b2370bea70317d33bd765a95a799145871","9,125.082499605943952484","No"
"0x12de3f59f0700da8a6252b87e30fcd6e54372a6d","8,876.410989211699972707","No"
"0x0824726485ce5cebc3f359bdf6a9f8e63d2cb674","8,436.796130301262602511","No"
"0xc84c0eb368f976187dc7a17465d7e8c1acae23d9","8,347.38965664075921485","No"
"0x31058e44797e4d048a70f1c18c416b3ff0ec8bfa","8,110.363056860520345432","Yes"
"0x10f28d8305a4f35f1fe16cb4f91d83c9edf4b352","7,984.632964073447206194","No"
"0x2d2b27b7607fe6b00ea69a2bb92459de535395d7","7,982.999023938268720492","No"
"0xe0d9b7695e2250238c8a510ba368b7fbfda2a256","7,928.230486542391980838","No"
"0xfdc72f27c30e09a1ecd1ff56b6e3aac145ddf142","7,661.408881266350624711","No"
"0xc19891a7ebfdbad13d43776de7c191ccf932da53","7,588.319583667335212045","No"
"0x8480ce56dc325546836e98d691d0fd700a68bf06","7,525.009129296978894723","No"
"0x2a2ada0fed6c15fc6071721ebeed7df3a0ff2710","7,515.114748700132539774","No"
"0x1c10716c8d9b9da9af352bf79c223091d10bc0ca","7,375.307416405560058538","No"
"0xe8a78df09c98049104b3a47cdfddcf6b17390782","7,280.974564338943857812","No"
"0xde3db81fcdea6e8120b1d935dff0b6794dd6508c","6,948.750806297007500032","No"
"0x6fe75bb2927a22ddf74945af1e9cfd14503ad714","6,839.191454294555591341","No"
"0x65294f62acbe4123db164cd74fd9a9424f4a4ec6","6,761.467440214878841862","No"
"0x2b34f0dd63aab54563918a4c82e85f5f39efa2f7","6,738.327667442241371363","No"
"0x0000a26b00c1f0df003000390027140000faa719","6,707.684837050003846368","Yes"
"0xa500acf6292df5022b3af28851f9fcba1ed88bf1","6,644.00921912825009767","No"
"0x0c0dec2af7f1a7d3bab70010b9db0d14018d46e7","6,619.183340287105454274","No"
