"HolderAddress","Balance","PendingBalanceUpdate"
"0xde107018b0e759727a2779ce4abca101fcfe0974","1,701,564.17622381863850674","No"
"0x1b53f88ed815d30a5aa2fe0dbe3da852844bfacc","1,688,988.649296549124928316","No"
"0xb07e13020cc3b6d8b3bb080c3d4c2b892f202be3","1,641,401.499384396503892286","No"
"0x2cf12935fff5fb76684d1e3a4083b1fa25fcc9e4","1,615,741.877334305679964567","No"
"0x995cfc0a263b50ef1c06b9e0f1af174275e4a3ab","1,612,053.967900583736890119","No"
"0x9197bcf126c4aadb7896d4d543a25ad3563fa5b6","1,601,890.869050611966513953","No"
"0xf531c292f3fedb30877f20900a126290cc26232f","1,594,158.384917553632545418","No"
"0x7704d8fd1dc82d3b61dd2f2e301613ec82488f03","1,579,467.983643187501788913","No"
"0x30b4a5477314e3fbd0c22d6afcd71eecf4d9d22f","1,562,672.387074773641021492","No"
"0x3aff09f0891cd4ed24ecfc125f1476ff4e8f8671","1,554,273.46828277458743493","No"
"0x72748e770f89fc00ba3661dffc40552fa07719ec","1,540,098.553685438977102671","No"
"0x0025b0719e65d3ea1c6a084f9d189e6f984043bc","1,538,000","No"
"0x893baf7ae121aeb9ef5b3002278a578c91d3cf52","1,506,456.461249441970813205","No"
"0xc9d9e78b069c59b6fcbbf17a2fa74fd067e0ac34","1,500,000","No"
"0x05dffc9a8703501442fc1b0a25976523edbde094","1,497,725.844117199752990254","No"
"0xe3bff512bed19287b11b49e4585bc576083d6019","1,472,224.938310041485336814","No"
"0xc2d7ae998689b621acc33af6382f5b83cf0b1e64","1,452,106.54629365024163228","No"
"0x8c1fdde95f44fbb759d95014d5a97065ab38d92a","1,432,961.747878091985399413","No"
"0x275a8d31bc87d5664249db312001310a058b800e","1,412,659.179560146438337054","No"
"0x849458054a810b6f014708bc7571691b773885e6","1,407,552.489055558920181853","No"
"0x0aafd08763e452b56e61b4c3bc382e046fd0de13","1,397,072","No"
"0xf3c311f7858f9480b6e368acceda334e1f8d1890","1,387,197.647667090373282283","No"
"0x354defa8c7edc570ee589a6e2e3a919b8e51b293","1,344,160","No"
"0xc3eabc5b6a11388c0a9e86bad2cc1dc669d5def2","1,343,067.310565385506826648","No"
"0x3da6394dfebe72421b1a2567a94a3829fdcdc712","1,334,988.381897540245516615","No"
"0x2d608947936a6e3189fa18737443560fff297659","1,320,426.559716953100213621","No"
"0x628a30c0d9db461b2d35bbea9949ac8a27396ead","1,314,319","No"
"0x149c4f89e60852dc00760ab90fcd8c67c87878f0","1,311,527","No"
"0xc8ba16f92a406419074881ab537da555293a9dc1","1,307,319.201612973623772063","No"
"0x2b3a8d731550a67735934cff224eb7028ff6bb8b","1,301,505.828389602047381004","No"
"0x8b9c5b483392cb3052aa9f529c29cddf2b1650f7","1,279,814.683696070066401219","No"
"0xa5850f4f9c715e7ebf4f1820e195dc1ff6766d6e","1,264,679.077316064903641014","No"
"0x6beef2b2fe00fddca12a8cda2d4b00435b0ba3b6","1,263,404.272349254127730255","No"
"0xad8c5db13a9c08a1835e9a0dee576f3e70c25956","1,263,088.369557403425098605","No"
"0x1fdbffd0d8e237e64e68a904c2a6f447a1ad5c90","1,260,001.408958473853078634","No"
"0x6583c79fabbda57248fcd264c5286dbdf0448be5","1,256,536.471104685194101354","No"
"0x65bf09af0606ece492ad10755089b7201ff30290","1,253,066.760153064661533707","No"
"0x65d4a0da657228b50576d3bd8406c7f2e985a0d2","1,225,193.240157828800187003","No"
"0x888176324f028545a5fff204bef7dec6eabe64ee","1,214,383","No"
"0xd31e66f7d204bfd7bc48bbc15c0a701dd5c4cb49","1,213,108.810701906","No"
"0x4c3337d430b57002954c6d4ccf82d1d55357dca1","1,201,096.799046285536720927","No"
"0xa46f7fbd438121799a6d8660acd40d83f8d4e89c","1,193,501.883351648894920681","No"
"0xa5b8d0e603117ad71492b9a9c600cb8846be45cd","1,182,831.802129559681303636","No"
"0xb65a7443cdf2ff7b72996166a552972c5ad0a2e8","1,182,718.80767415437726429","No"
